id,name,shortName,tla
928,PFK Levski Sofia,Levski Sofia,LEV
930,SK Slavia Praha,Slavia Praha,SLP
946,Aalborg BK,Aalborg,ABK
949,Petrzalka,,FC 
1001,NK Siroki Brijeg,Siroki Brijeg,ŠIR
1003,FC Thun,Thun,THU
1042,Football Bourg en Bresse Peronnas 01,Bourg Peronnas,FBB
1044,AFC Bournemouth,Bournemouth,BOU
1045,Paris FC,Paris FC,PFC
1046,Athletic Bilbao B,Athletic Club II,
1048,Real Oviedo,Real Oviedo,OVI
1049,CD Tondela,Tondela,TON
1052,CF Uniao da Madeira,Uniao Madeira,UNI
1054,1. FC Magdeburg,Magdeburg,FCM
1055,FC Wurzburger Kickers,Wurzburg,WUR
1057,KAA Gent,KAA Gent,GEN
1060,Bosnia-Herzegovina,Bosnia-H.,BIH
1061,Israel,Israel,ISR
1062,Latvia,Latvia,LVA
1065,Albania,Albania,ALB
1066,Iceland,Iceland,ISL
1067,Bradford City AFC,Bradford City,BRA
1068,Bury FC,Bury,BUR
1069,Southend United FC,Southend Utd,SOU
1071,Doncaster Rovers FC,Doncaster,DON
1072,Burton Albion FC,Burton Albion,BUR
1073,Fleetwood Town FC,Fleetwood Town,FLT
1074,Crewe Alexandra FC,Crewe Alex,CRE
1075,Oldham Athletic AFC,Oldham Athl,OLD
1076,Coventry City FC,Coventry City,COV
